,Flow Duration,Flow IAT Min,Bwd IAT Mean,Bwd IAT Std,Idle Max,Label
19892,10861,1,3412.333333,5406.540514,0,1
1182,1975,1975,0.0,0.0,0,0
12683,10371,10371,0.0,0.0,0,1
6225,87,87,0.0,0.0,0,0
9927,7163,7163,0.0,0.0,0,1
2844,13283,15,4285.333333,7063.933206,0,1
5131,10634,3,3543.666667,5744.937714,0,1
17193,68257,25,25.0,0.0,0,0
10015,107030390,2,53004913.5,31120011.98,53234153,1
5875,999,999,0.0,0.0,0,0
12169,818,29,169.6666667,162.1398573,0,0
8347,12715,12715,0.0,0.0,0,0
13290,1106,1106,0.0,0.0,0,1
2589,5417913,8,10055.83333,17938.9877,5296977,0
7569,1365,1365,0.0,0.0,0,1
19939,6,6,0.0,0.0,0,1
994,2405,2405,0.0,0.0,0,0
2396,166720,1,11774.16667,18034.73094,0,0
12778,34,34,0.0,0.0,0,0
1963,4050503,30,328753.8333,411104.2657,0,0
8309,28843,28843,0.0,0.0,0,1
17736,1,1,0.0,0.0,0,0
19723,98,17,0.0,0.0,0,0
19066,364,364,0.0,0.0,0,0
15582,4452961,4452961,0.0,0.0,0,0
19826,153,153,0.0,0.0,0,0
14841,875,875,0.0,0.0,0,1
13372,54410,45,45.0,0.0,0,0
15274,3955926,51,543597.5714,343685.5786,0,0
9747,9522,6,3172.0,5243.302108,0,1
4117,86101463,86101463,0.0,0.0,86101463,0
4192,35,35,0.0,0.0,0,0
6849,376,376,0.0,0.0,0,0
8666,238,238,0.0,0.0,0,0
5352,77,77,0.0,0.0,0,0
13383,260,260,0.0,0.0,0,0
2536,350168,5,16674.33333,34004.73485,0,1
9653,19,19,0.0,0.0,0,1
10313,4324090,3,694714.6667,730595.02,0,0
17958,4001743,53,556853.2857,331455.173,0,0
6453,1276990,75,205416.3333,366820.3924,0,0
18705,5258,5258,0.0,0.0,0,1
16574,2386216,88,321850.0,315637.1128,0,0
7653,435,435,0.0,0.0,0,1
2710,292,292,0.0,0.0,0,0
10113,11401,21,3635.333333,5921.098406,0,1
2084,88,88,0.0,0.0,0,0
13380,359403,2,17114.09524,34033.08956,0,1
718,13,13,0.0,0.0,0,0
4814,84861,0,18306.75,36318.09905,0,0
15607,2662972,90,400144.6667,383529.6961,0,0
611,493,493,0.0,0.0,0,1
9721,116157278,33,7366657.8,4572877.869,10000000,0
6199,387758,5,18464.42857,36695.35902,0,1
19031,1502,6,920.0,0.0,0,0
1970,15295,15295,0.0,0.0,0,1
4561,60975853,2,5075402.25,5155151.258,10007019,0
19740,463,463,0.0,0.0,0,1
12304,61959235,1,3440678.111,4794475.984,10000000,0
18013,6,6,0.0,0.0,0,1
15479,813,17,0.0,0.0,0,0
17527,3650,3650,0.0,0.0,0,1
7751,6,6,0.0,0.0,0,1
5264,1792469,23,215622.6667,283674.5019,0,0
5616,1256,1256,0.0,0.0,0,0
4868,35,35,0.0,0.0,0,0
999,37449,37449,0.0,0.0,0,0
13051,480,480,0.0,0.0,0,1
16453,2838869,4,326478.75,282725.6288,0,0
14797,1266328,3,253400.25,1256.992011,0,0
14632,150,150,0.0,0.0,0,0
18987,86295488,86295488,0.0,0.0,86295488,0
8373,2,2,0.0,0.0,0,1
6986,2,2,0.0,0.0,0,1
12683,10371,10371,0.0,0.0,0,1
16190,6139,6139,0.0,0.0,0,1
552,5367946,79,735920.4286,1035821.231,0,0
10490,34,34,0.0,0.0,0,0
13296,386577,5,18408.04762,33950.33842,0,1
10038,58027,464,46483.0,0.0,0,0
18333,3073,3073,0.0,0.0,0,0
13340,2,2,0.0,0.0,0,1
15945,394743,3,20775.63158,56808.14025,0,1
2195,43,43,0.0,0.0,0,0
16176,3842121,36,451288.875,310355.3747,0,0
6680,1,1,0.0,0.0,0,0
340,508,508,0.0,0.0,0,1
12298,126,126,0.0,0.0,0,0
18013,6,6,0.0,0.0,0,1
6640,5965,5965,0.0,0.0,0,1
6009,29249,5,9747.0,8452.574105,0,1
2420,4190199,52,676380.1667,659997.6887,0,0
3467,85994630,85994630,0.0,0.0,85994630,0
14197,2,2,0.0,0.0,0,1
3317,10203,2,3231.666667,5300.5251,0,1
13395,2,2,0.0,0.0,0,1
19693,2606,3,2111.0,0.0,0,0
4029,310141,310141,0.0,0.0,0,0
13751,2062,2062,0.0,0.0,0,1
14492,1181,6,656.0,0.0,0,0
3376,492,492,0.0,0.0,0,1
1118,1309395,4,181515.8571,344779.2777,0,0
6337,85,85,0.0,0.0,0,0
12689,15397,15397,0.0,0.0,0,1
2982,16274,5,5423.0,9031.931521,0,1
16037,108064944,4,54032470.0,32574002.42,53246844,1
871,11936,3,3976.0,6315.939202,0,1
8427,162,162,0.0,0.0,0,0
9707,103,103,0.0,0.0,0,0
4033,12516,12516,0.0,0.0,0,1
16181,1762,1762,0.0,0.0,0,1
16506,112,48,0.0,0.0,0,0
7913,3139578,89,507746.0,531303.6232,0,0
16821,118740686,0,7416693.875,20076231.78,58878172,0
13319,1231,7,706.0,0.0,0,0
1714,68,68,0.0,0.0,0,0
15531,80,80,0.0,0.0,0,0
4459,4595,4595,0.0,0.0,0,1
14083,3555499,3,415163.375,263966.3688,0,0
5520,4619,3,1538.666667,2443.743917,0,1
7188,5515,5515,0.0,0.0,0,1
17090,2510,2510,0.0,0.0,0,1
1226,969,969,0.0,0.0,0,0
14473,2,2,0.0,0.0,0,1
1434,479,479,0.0,0.0,0,1
13607,10799,1,3414.0,5498.50516,0,1
695,18,18,0.0,0.0,0,0
15010,14085,14085,0.0,0.0,0,1
4164,402,402,0.0,0.0,0,0
13231,13066,13066,0.0,0.0,0,0
13414,5112,5112,0.0,0.0,0,1
9823,23,23,0.0,0.0,0,0
12755,138,138,0.0,0.0,0,0
98,87,87,0.0,0.0,0,0
19913,465,465,0.0,0.0,0,1
1842,88202496,88202496,0.0,0.0,88202496,0
18030,2,2,0.0,0.0,0,1
7064,2,2,0.0,0.0,0,1
12946,1,1,0.0,0.0,0,1
16440,238,238,0.0,0.0,0,0
472,828,828,0.0,0.0,0,1
5111,37134,37134,0.0,0.0,0,0
4837,9845,22,3123.0,5058.991303,0,1
10204,9721,7,3238.0,3240.474039,0,1
12136,4937,4937,0.0,0.0,0,1
16179,5284372,94,729078.2857,478508.404,0,0
7262,5065,5065,0.0,0.0,0,1
19997,2379,2379,0.0,0.0,0,1
2656,273,273,0.0,0.0,0,0
18525,1614,1614,0.0,0.0,0,0
14462,1262,4,419.3333333,534.1501037,0,1
13900,30757,30757,0.0,0.0,0,1
3377,2269885,4,346506.1667,298159.0297,0,0
7793,11084,1,3521.666667,5711.003531,0,1
19209,4142588,65,514911.125,382816.7875,0,0
12107,533,21,0.0,0.0,0,0
7707,14572520,27,1107718.923,1968610.585,7202959,0
7680,1593,1593,0.0,0.0,0,1
5356,664,24,0.0,0.0,0,0
8734,15779,15779,0.0,0.0,0,1
973,2556587,80,383518.6667,279945.9027,0,0
7549,2496,2496,0.0,0.0,0,1
14606,54275722,54275722,0.0,0.0,0,0
2584,7326,7326,0.0,0.0,0,1
11481,4008953,64,559426.1429,343236.6263,0,0
9007,1085,1085,0.0,0.0,0,0
6328,3,3,0.0,0.0,0,1
