,spkts,dpkts,sttl,dttl,smean,dmean,label
7424,2,0,254,0,100,0,1
4836,2,2,31,29,66,82,0
4566,4,4,31,29,130,76,0
3478,2,2,31,29,73,89,0
7236,150,38,62,252,1152,65,1
6431,2,0,254,0,100,0,1
6045,66,0,254,0,108,0,1
2700,12,12,31,29,89,188,0
13368,2,0,254,0,100,0,1
3163,40,42,31,29,64,551,0
1147,30,42,31,29,77,819,0
9060,2,0,254,0,100,0,1
10897,22,20,62,252,171,91,1
15009,18,18,254,252,126,77,1
13992,2,0,254,0,100,0,1
1973,8,10,31,29,132,82,0
16387,10,10,62,252,81,372,1
4294,78,80,31,29,58,910,0
3121,16,18,31,29,96,91,0
17012,38,204,254,252,53,1293,1
408,16,18,31,29,96,91,0
3043,64,66,31,29,59,785,0
17175,10,8,254,252,56,44,1
3993,122,126,31,29,64,120,0
1621,26,42,31,29,81,819,0
11068,2,0,254,0,84,0,1
2736,4,4,31,29,130,76,0
11052,22,32,62,252,46,600,1
11564,2,0,254,0,100,0,1
743,52,40,31,29,716,82,0
2595,16,18,31,29,96,91,0
2482,4,4,31,29,142,78,0
5679,2,0,254,0,112,0,1
16269,2,0,254,0,52,0,1
2263,2,2,31,29,66,82,0
12974,8,10,62,252,46,375,1
2917,64,66,31,29,59,785,0
4212,62,58,31,29,96,138,0
7377,2,0,254,0,100,0,1
10172,14,12,254,252,67,57,1
4584,62,60,31,29,96,135,0
19819,2,0,254,0,196,0,1
3319,28,42,31,29,79,819,0
12967,2,0,254,0,100,0,1
1269,52,42,31,29,718,80,0
12780,2,0,254,0,100,0,1
18843,2,0,254,0,248,0,1
1129,16,18,31,29,96,91,0
4957,2,2,31,29,66,82,0
9262,2,0,254,0,100,0,1
1103,16,18,31,29,96,91,0
3620,2,2,31,29,73,89,0
19391,10,8,254,252,53,44,1
16590,10,14,62,252,85,807,1
3514,16,18,31,29,96,91,0
10672,8,10,62,252,46,375,1
19367,24,22,62,252,52,74,1
6716,2,0,254,0,100,0,1
11367,2,0,254,0,100,0,1
15311,28,86,62,252,51,1093,1
19728,10,6,254,252,65,45,1
1577,16,18,31,29,96,91,0
4551,64,66,31,29,59,785,0
1586,16,18,31,29,96,91,0
12736,2,0,254,0,100,0,1
7933,14,12,254,252,57,57,1
14525,2,0,254,0,100,0,1
9043,10,6,254,252,87,45,1
452,4,4,31,29,130,76,0
3256,16,18,31,29,96,91,0
12555,2,0,254,0,100,0,1
